t,p1_x1,p1_x2,p1_v1,p1_v2,p2_x1,p2_x2,p2_v1,p2_v2,p3_x1,p3_x2,p3_v1,p3_v2
0.9450000000000008,0.3358196744274702,0.8596802508007787,0.3702320009562379,0.5632091206903824,0.727213196650912,-0.1281948188138457,-0.838849673627332,0.1311346137699492,-1.063032871078354,-0.7314854319869024,0.4686176726710818,-0.694343734460305
0.9610000000000009,0.3416165980744541,0.8683455194132025,0.3729316186173507,0.5477072675184396,0.7140556130640388,-0.1260596914123228,-0.8479894417572558,0.1426073980595587,-1.055672211138469,-0.7422858280008487,0.4750578231398923,-0.6903146655779709
0.9770000000000008,0.3474541409415664,0.8767682396208816,0.3754389317952809,0.5321134870598769,0.700756885191788,-0.1237452401033298,-0.856944766223181,0.1541240161707659,-1.0482110261333322,-0.7530229995175195,0.4815058344278868,-0.6862375032306143
0.9930000000000008,0.3533292719283405,0.8849469922128149,0.3777499341833774,0.5164296893861852,0.6873199063582245,-0.1212508209379516,-0.8657135547446514,0.1656793289798706,-1.040649178286546,-0.7636961712748328,0.4879636205612574,-0.6821090183660278
1.0089999999999997,0.3592388968420145,0.8928803880855283,0.3798605432269062,0.5006578273782606,0.6737476044583618,-0.1185758715332027,-0.8742934654854966,0.1772680160877764,-1.032986501300356,-0.7743045165522928,0.4944329222585744,-0.6779258434660071
1.024999999999998,0.3651798572056877,0.9005670690523198,0.3817665999864422,0.4847999148854667,0.6600429459415471,-0.1157199140084381,-0.8826818955213931,0.1888845620140911,-1.0252228031472153,-0.7848471550438473,0.500915295534938,-0.6736844768995284
1.0409999999999962,0.3711489290719756,0.9080057089364688,0.3834638699780167,0.4688580449462715,0.6462089399732485,-0.1126825581319195,-0.8908759694832005,0.200523243081627,-1.017357869045204,-0.7953231508045143,0.5074120995051695,-0.6693812880278696
1.0569999999999944,0.3771428218579,0.9151950149490696,0.3849480450628763,0.4528344080524845,0.6322486427720798,-0.1094635046654822,-0.8988725284510893,0.2121781151620039,-1.0093914646299629,-0.8057315102835522,0.5139244833882006,-0.6650125232144578
1.0729999999999926,0.383158177217839,0.922133729351848,0.3862147464613629,0.4367313104296161,0.6181651621177152,-0.1060625488924786,-0.906668119193602,0.2238430024710825,-1.001323339335539,-0.816071180459336,0.5204533727322275,-0.6605743129006669
1.0889999999999909,0.389191567972785,0.9288206314050856,0.3872595289664833,0.4205511922944266,0.6039616620231749,-0.1024795843109724,-0.9142589838670028,0.2355114876216706,-0.9931532299959436,-0.8263410470940767,0.5269994549005104,-0.6560626799160663
1.104999999999989,0.3952394971151862,0.9352545395998372,0.3880778864328284,0.4042966460390306,0.5896413675633358,-0.0987146064708545,-0.9216410503131712,0.2471769031586517,-0.9848808646785072,-0.836539933128945,0.5335631638803322,-0.65147354919765
